group	momID	plot	BORICE_FAM	BORICE_SUBPOP	nas_prop
CAC2019	mom1	311	1	1	0.307941291
CAC2019	mom10	306	2	1	0.069979469
CAC2019	mom104	310	3	1	0.338082955
CAC2019	mom105	310	4	1	0.292328397
CAC2019	mom106	310	5	1	0.214080534
CAC2019	mom107	310	6	1	0.298954529
CAC2019	mom108	310	7	1	0.307556629
CAC2019	mom112	310	8	1	0.355249548
CAC2019	mom114	310	9	1	0.288584963
CAC2019	mom116	310	10	1	0.223711956
CAC2019	mom117	310	11	1	0.293998124
CAC2019	mom119	310	12	1	0.174459922
CAC2019	mom121	310	13	1	0.278344006
CAC2019	mom126	310	14	1	0.384578019
CAC2019	mom130	310	15	1	0.372310249
CAC2019	mom133	310	16	1	0.290415167
CAC2019	mom135	310	17	1	0.210315144
CAC2019	mom137	311	18	1	0.324522149
CAC2019	mom138	311	19	1	0.460130047
CAC2019	mom139	311	20	1	0.323457362
CAC2019	mom14	302A	21	1	0.096441911
CAC2019	mom140	311	22	1	0.465830404
CAC2019	mom142	311	23	1	0.379951907
CAC2019	mom144	311	24	1	0.404209174
CAC2019	mom145	311	25	1	0.390806736
CAC2019	mom146	311	26	1	0.315529451
CAC2019	mom16	306	27	1	0.052662286
CAC2019	mom19	312	28	1	0.998210665
CAC2019	mom2	304	29	1	0.276956668
CAC2019	mom21	311	30	1	0.25878799
CAC2019	mom22	305	31	1	0.999898841
CAC2019	mom26	307	32	1	0.995198225
CAC2019	mom27	309	33	1	0.99964555
CAC2019	mom28	310	34	1	0.324576012
CAC2019	mom3	305	35	1	0.999893108
CAC2019	mom30	312	36	1	0.997670681
CAC2019	mom33	306	37	1	0.049117207
CAC2019	mom34	306	38	1	0.080742343
CAC2019	mom36	306	39	1	0.058666675
CAC2019	mom40	304	40	1	0.456111319
CAC2019	mom41	304	41	1	0.65792816
CAC2019	mom43	306	42	1	0.051802185
CAC2019	mom44	306	43	1	0.04625072
CAC2019	mom5	NA	44	1	0.187079809
CAC2019	mom53	304	45	1	0.451086553
CAC2019	mom55	304	46	1	0.221751468
CAC2019	mom57	304	47	1	0.641264383
CAC2019	mom59	304	48	1	0.357550768
CAC2019	mom6	308	49	1	0.176521597
CAC2019	mom60	304	50	1	0.443844704
CAC2019	mom69	306	51	1	0.066814397
CAC2019	mom7	310	52	1	0.243351387
CAC2019	mom70	306	53	1	0.073849392
CAC2019	mom71	306	54	1	0.05941567
CAC2019	mom72	306	55	1	0.084875225
CAC2019	mom73	306	56	1	0.064211389
CAC2019	mom75	306	57	1	0.066588351
CAC2019	mom76	306	58	1	0.069550029
CAC2019	mom77	306	59	1	0.06096543
CAC2019	mom8	312	60	1	0.439817944
CAC2019	mom80	306	61	1	0.069463797
CAC2019	mom85	306	62	1	0.054306653
CAC2019	mom88	306	63	1	0.071597747
CAC2019	mom89	306	64	1	0.066116235
CAC2019	mom9	306	65	1	0.049120465
CAC2019	mom92	307	66	1	0.994640139
CAC2019	mom99	309	67	1	1
