group	momID	plot	BORICE_FAM	BORICE_SUBPOP	nas_prop
CAC2021	mom1	ALS_1	1	1	0.056419296
CAC2021	mom10	ALS_2	2	1	0.064701233
CAC2021	mom11	ALS_2	3	1	0.067600389
CAC2021	mom12	ALS_2	4	1	0.057886687
CAC2021	mom13	ALS_3	5	1	0.151628784
CAC2021	mom14	ALS_3	6	1	0.11535965
CAC2021	mom15	ALS_3	7	1	0.099419235
CAC2021	mom17	ALS_4	8	1	0.00846015
CAC2021	mom19	ALS_4	9	1	0.186929398
CAC2021	mom2	ALS_1	10	1	0.077433363
CAC2021	mom23	ALS_5	11	1	0.138381489
CAC2021	mom25	area_100	12	1	0.250820751
CAC2021	mom33	area_102	13	1	0.18342943
CAC2021	mom34	area_102	14	1	0.640150762
CAC2021	mom4	ALS_1	15	1	0.054590184
CAC2021	mom5	ALS_1	16	1	0.042950637
CAC2021	mom8	ALS_1	17	1	0.067473598
CAC2021	mom9	ALS_2	18	1	0.064479032
